demo,map,linetype,player,team,time (s),hp,death,action,target,target_team,targeted,value,uid,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20
kb7204,skyway,log,Cruel Existence,RED,49.121,,,jaunt,!pos,,0,32467,168
kb7204,skyway,log,John BIaze,RED,49.429,1587.0,,raptor pack,,,0,32658,169
kb7204,skyway,log,Vanishing Point,BLU,50.633,1972.0,,total focus,Wrecktum,RED,0,33423,170
kb7204,skyway,log,Kencian X,RED,50.761,,,clear mind,Cruel Existence,RED,0,33516,171
kb7204,skyway,log,Cruel Existence,RED,50.908,,,raptor pack,,RED,0,33605,172
kb7204,skyway,log,John BIaze,RED,51.182,1606.0,,raptor pack,,,0,33744,173
kb7204,skyway,log,Relinquished,BLU,51.493,,,blaze,Wrecktum,RED,0,33959,174
kb7204,skyway,log,Los Bandidos,BLU,51.746,,,blaze,Wrecktum,RED,0,34122,175
kb7204,skyway,log,Wrecktum,RED,51.746,,,,,,1,34122,176
kb7204,skyway,log,Ravenfrost,BLU,51.879,1606.0,,enforced morale,Deadly Deadly Deadly,BLU,0,34181,177
kb7204,skyway,log,SoIstice,RED,52.153,,,raptor pack,,,0,34336,178
kb7204,skyway,log,Kencian X,RED,52.328,,,heal other,Wrecktum,RED,0,34454,179
kb7204,skyway,log,Novatix,RED,52.435,1606.0,,fortitude,Wrecktum,RED,0,34523,180
kb7204,skyway,log,BigMacSuperDeal,RED,52.462,,,raptor pack,,,0,34538,181
kb7204,skyway,log,Deadly Deadly Deadly,BLU,52.462,1655.0,,bib,!pos,,0,34545,182
kb7204,skyway,log,Relinquished,BLU,52.7,,,shocking bolt,Wrecktum,RED,0,34690,183
kb7204,skyway,log,Wrecktum,RED,52.839,864.0,,green,,RED,0,34816,184
kb7204,skyway,log,John BIaze,RED,52.98,,,aim,,,0,34889,185
kb7204,skyway,log,Wrecktum,RED,52.98,1078.0,,green,,,0,34898,186
kb7204,skyway,log,SoIstice,RED,53.421,,,raptor pack,,,0,35127,187
kb7204,skyway,log,Wrecktum,RED,53.421,1326.0,,green,,,0,35137,188
kb7204,skyway,log,Vanishing Point,BLU,53.529,,,zapp,Wrecktum,RED,0,35218,189
kb7204,skyway,log,Wrecktum,RED,53.529,1432.0,,green,,,0,35223,190
kb7204,skyway,log,Cruel Existence,RED,53.662,,,blaze,Deadly Deadly Deadly,BLU,0,35281,191
kb7204,skyway,log,Wrecktum,RED,53.662,,,green,,,0,35304,192
kb7204,skyway,log,Deadly Deadly Deadly,BLU,53.801,1747.0,,,,,1,35394,193
kb7204,skyway,log,Pot,RED,53.801,,,blaze,Deadly Deadly Deadly,BLU,0,35394,194
kb7204,skyway,log,SoIstice,RED,53.801,,,blaze,Deadly Deadly Deadly,BLU,0,35406,195
kb7204,skyway,log,Wrecktum,RED,53.801,1606.0,,green,,,0,35411,196
kb7204,skyway,log,Python Blue,BLU,54.109,,,mystic/flight,,,0,35603,197
kb7204,skyway,log,Novatix,RED,54.109,,,heal other,Wrecktum,RED,0,35609,198
kb7204,skyway,log,Wrecktum,RED,54.109,1158.0,,blaze,Deadly Deadly Deadly,BLU,0,35621,199
kb7204,skyway,log,BigMacSuperDeal,RED,54.348,,,enervating field,Deadly Deadly Deadly,BLU,0,35801,200
kb7204,skyway,log,Deadly Deadly Deadly,BLU,54.348,,,strangler,Wrecktum,RED,0,35796,200
kb7204,skyway,log,Ravenfrost,BLU,54.763,,,mystic/flight,,,0,36060,201
kb7204,skyway,log,Pot,RED,55.073,,,dominate,Deadly Deadly Deadly,BLU,0,36247,202
kb7204,skyway,log,BigMacSuperDeal,RED,55.154,,,dehydrate,Deadly Deadly Deadly,BLU,0,36311,203
